RowMin,RowMax,ByPath,ByProject,PopID,Pop1,Pop2
1,9,NULL,NULL,1427,14,27
1,9,NULL,NULL,1428,14,28
1,9,NULL,NULL,1429,14,29
1,9,NULL,NULL,1430,14,30
1,9,NULL,NULL,1431,14,31
1,9,NULL,NULL,1432,14,32
1,9,NULL,NULL,1433,14,33
1,9,NULL,NULL,1434,14,34
1,9,NULL,NULL,1435,14,35
1,9,NULL,NULL,1436,14,36
1,9,NULL,NULL,1437,14,37
1,9,NULL,NULL,1438,14,38
1,9,NULL,NULL,1439,14,39
1,9,NULL,NULL,1440,14,40
1,9,NULL,NULL,1441,14,41
1,9,NULL,NULL,1442,14,42
1,9,NULL,NULL,1443,14,43
1,9,NULL,NULL,1444,14,44
1,9,NULL,NULL,1445,14,45
1,9,NULL,NULL,1448,14,48
1,9,NULL,NULL,1519,15,19
1,9,NULL,NULL,1520,15,20
1,9,NULL,NULL,1521,15,21
1,9,NULL,NULL,1522,15,22
1,9,NULL,NULL,1523,15,23
1,9,NULL,NULL,1524,15,24
1,9,NULL,NULL,1525,15,25
1,9,NULL,NULL,1526,15,26
1,9,NULL,NULL,1527,15,27
1,9,NULL,NULL,1528,15,28
1,9,NULL,NULL,1529,15,29
1,9,NULL,NULL,1530,15,30
1,9,NULL,NULL,1531,15,31
1,9,NULL,NULL,1532,15,32
1,9,NULL,NULL,1533,15,33
1,9,NULL,NULL,1534,15,34
1,9,NULL,NULL,1535,15,35
1,9,NULL,NULL,1536,15,36
1,9,NULL,NULL,1537,15,37
1,9,NULL,NULL,1538,15,38
1,9,NULL,NULL,1539,15,39
1,9,NULL,NULL,1540,15,40
1,9,NULL,NULL,1541,15,41
1,9,NULL,NULL,1542,15,42
1,9,NULL,NULL,1543,15,43
1,9,NULL,NULL,1544,15,44
1,9,NULL,NULL,1545,15,45
1,9,NULL,NULL,1546,15,46
1,9,NULL,NULL,1547,15,47
1,9,NULL,NULL,1548,15,48
1,9,1,NULL,0,0,0
1,9,1,NULL,10,0,10
1,9,1,NULL,11,0,11
1,9,1,NULL,12,0,12
1,9,1,NULL,13,0,13
1,9,1,NULL,14,0,14
1,9,1,NULL,15,0,15
1,9,1,NULL,16,0,16
1,9,1,NULL,17,0,17
23,23,NULL,NULL,18,0,18
23,23,NULL,NULL,19,0,19
23,23,NULL,NULL,20,0,20
23,23,NULL,NULL,23,0,23
23,23,NULL,NULL,24,0,24
23,23,NULL,NULL,25,0,25
23,23,NULL,NULL,26,0,26
23,23,NULL,NULL,27,0,27
23,23,NULL,NULL,28,0,28
23,23,NULL,NULL,29,0,29
23,23,NULL,NULL,30,0,30
23,23,NULL,NULL,31,0,31
23,23,NULL,NULL,32,0,32
23,23,NULL,NULL,33,0,33
23,23,NULL,NULL,34,0,34
23,23,NULL,NULL,35,0,35
23,23,NULL,NULL,36,0,36
