RowID,Cohort,Universe,SystemPath
54,10,12,-1
54,10,13,-1
54,10,14,-1
54,10,15,-1
54,10,16,-1
54,11,10,-1
54,11,11,-1
54,11,12,-1
54,11,13,-1
54,11,14,-1
54,11,15,-1
54,11,16,-1
54,12,10,-1
54,12,11,-1
54,12,12,-1
54,12,13,-1
54,12,14,-1
54,12,15,-1
54,12,16,-1
54,13,10,-1
54,13,11,-1
54,13,12,-1
54,13,13,-1
54,13,14,-1
54,13,15,-1
54,13,16,-1
55,1,10,-1
55,1,11,-1
55,1,12,-1
55,1,13,-1
55,1,14,-1
55,1,15,-1
55,1,16,-1
55,10,10,-1
55,10,11,-1
55,10,12,-1
55,10,13,-1
55,10,14,-1
55,10,15,-1
55,10,16,-1
55,11,10,-1
55,11,11,-1
55,11,12,-1
55,11,13,-1
55,11,14,-1
55,11,15,-1
55,11,16,-1
55,12,10,-1
55,12,11,-1
55,12,12,-1
55,12,13,-1
55,12,14,-1
55,12,15,-1
55,12,16,-1
55,13,10,-1
55,13,11,-1
55,13,12,-1
55,13,13,-1
55,13,14,-1
55,13,15,-1
55,13,16,-1
56,1,10,-1
56,1,11,-1
56,1,12,-1
56,1,13,-1
56,1,14,-1
56,1,15,-1
56,1,16,-1
57,1,10,-1
57,1,11,-1
57,1,12,-1
57,1,13,-1
57,1,14,-1
57,1,15,-1
57,1,16,-1
63,-2,2,-1
63,-2,3,-1
63,-2,4,-1
63,-1,2,-1
63,-1,3,-1
63,-1,4,-1
63,0,2,-1
63,0,3,-1
63,0,4,-1
64,-2,2,-1
64,-2,3,-1
64,-2,4,-1
64,-1,2,-1
64,-1,3,-1
64,-1,4,-1
64,0,2,-1
64,0,3,-1
64,0,4,-1
65,-2,2,-1
65,-2,3,-1
65,-2,4,-1
65,-1,2,-1
65,-1,3,-1
65,-1,4,-1
65,0,2,-1
65,0,3,-1
65,0,4,-1
66,-2,2,-1
66,-2,3,-1
66,-2,4,-1
66,-1,2,-1
66,-1,3,-1
66,-1,4,-1
66,0,2,-1
66,0,3,-1
66,0,4,-1
101,-2,3,-1
101,-1,3,-1
101,0,3,-1
102,-2,3,-1
102,-1,3,-1
102,0,3,-1
103,-2,3,-1
103,-1,3,-1
103,0,3,-1
104,-2,3,-1
104,-1,3,-1
104,0,3,-1
105,-2,3,-1
105,-1,3,-1
105,0,3,-1
106,-2,3,-1
106,-1,3,-1
106,0,3,-1
107,-2,3,-1
107,-1,3,-1
107,0,3,-1
108,-2,3,-1
108,-1,3,-1
108,0,3,-1
109,-2,3,-1
109,-1,3,-1
109,0,3,-1
110,-2,3,-1
110,-1,3,-1
110,0,3,-1
111,-2,3,-1
111,-1,3,-1
111,0,3,-1
112,-2,3,-1
112,-1,3,-1
112,0,3,-1
113,-2,3,-1
113,-1,3,-1
113,0,3,-1
